,train_loss,val_loss,grad_norm
0,22.3357,16.2358,15361.1
1,12.1161,7.77804,14448.8
2,9.71888,6.41555,7091.39
3,8.61777,5.09379,6962.79
4,8.02591,5.18971,4057.11
5,7.65537,4.69831,4374.35
6,7.42059,4.91956,2585.23
7,7.26892,4.67833,2834.34
8,7.16978,4.88048,1703.57
9,7.10292,4.74233,1922.04
10,7.05683,4.90185,1191.1
11,7.0233,4.80601,1410.1
12,6.99809,4.93058,912.411
13,6.97778,4.84917,1146.26
14,6.96084,4.95147,773.26
15,6.94586,4.87218,1020.32
16,6.9323,4.96183,707.11
17,6.91959,4.8808,959.65
18,6.90753,4.96337,673.821
19,6.8959,4.88049,926.258
20,6.88464,4.95884,653.978
21,6.87366,4.87505,903.77
22,6.86293,4.95059,639.55
23,6.85241,4.86678,885.786
24,6.8421,4.94025,627.438
25,6.83198,4.85705,869.877
26,6.82203,4.92885,616.464
27,6.81225,4.84666,855.107
28,6.80264,4.91702,606.167
29,6.79318,4.83604,841.101
30,6.78388,4.9051,596.357
31,6.77473,4.82545,827.695
32,6.76572,4.8933,586.946
33,6.75685,4.81503,814.805
34,6.74812,4.88175,577.888
35,6.73953,4.80485,802.384
36,6.73106,4.87049,569.153
37,6.72272,4.79495,790.396
38,6.71451,4.85955,560.719
39,6.70641,4.78535,778.813
40,6.69843,4.84894,552.567
41,6.69057,4.77604,767.612
42,6.68282,4.83867,544.68
43,6.67518,4.76702,756.771
44,6.66765,4.82871,537.045
45,6.66022,4.75828,746.271
46,6.6529,4.81907,529.647
47,6.64567,4.74981,736.092
48,6.63854,4.80972,522.474
49,6.63151,4.7416,726.218
50,6.62458,4.80066,515.513
51,6.61773,4.73364,716.634
52,6.61097,4.79187,508.755
53,6.60431,4.72592,707.323
54,6.59772,4.78334,502.188
55,6.59123,4.71843,698.273
56,6.58481,4.77507,495.802
57,6.57848,4.71115,689.47
58,6.57223,4.76702,489.59
59,6.56605,4.70408,680.902
60,6.55995,4.75921,483.541
61,6.55392,4.69721,672.559
62,6.54797,4.75162,477.65
63,6.54209,4.69052,664.428
64,6.53629,4.74423,471.907
65,6.53055,4.68402,656.501
66,6.52488,4.73704,466.307
67,6.51927,4.6777,648.768
68,6.51373,4.73004,460.843
69,6.50826,4.67154,641.22
70,6.50285,4.72323,455.509
71,6.4975,4.66554,633.85
72,6.49222,4.71659,450.3
73,6.48699,4.65969,626.649
74,6.48182,4.71012,445.209
75,6.47671,4.65399,619.612
76,6.47166,4.70381,440.232
77,6.46667,4.64843,612.73
78,6.46173,4.69765,435.365
79,6.45684,4.64301,605.998
80,6.45201,4.69165,430.603
81,6.44723,4.63772,599.411
82,6.4425,4.68578,425.943
83,6.43782,4.63256,592.961
84,6.43319,4.68006,421.379
85,6.42862,4.62751,586.646
86,6.42409,4.67447,416.91
87,6.41961,4.62259,580.458
88,6.41517,4.669,412.53
89,6.41078,4.61777,574.395
90,6.40644,4.66366,408.238
91,6.40214,4.61307,568.451
92,6.39789,4.65844,404.03
93,6.39368,4.60846,562.623
94,6.38952,4.65333,399.903
95,6.38539,4.60396,556.906
96,6.38131,4.64834,395.855
97,6.37727,4.59956,551.298
98,6.37327,4.64345,391.883
99,6.36931,4.59525,545.794
100,6.36539,4.63867,387.985
101,6.36151,4.59104,540.392
102,6.35766,4.63398,384.159
103,6.35386,4.58691,535.089
104,6.35009,4.62939,380.402
105,6.34636,4.58286,529.881
106,6.34266,4.6249,376.712
107,6.339,4.5789,524.766
108,6.33538,4.62049,373.088
109,6.33179,4.57502,519.741
110,6.32823,4.61617,369.528
111,6.32471,4.57121,514.805
112,6.32122,4.61194,366.03
113,6.31777,4.56748,509.953
114,6.31434,4.60779,362.592
115,6.31095,4.56382,505.185
116,6.30759,4.60372,359.212
117,6.30426,4.56023,500.498
118,6.30097,4.59973,355.89
119,6.2977,4.55671,495.89
120,6.29446,4.59581,352.624
121,6.29126,4.55325,491.359
122,6.28808,4.59196,349.412
123,6.28493,4.54986,486.903
124,6.28181,4.58819,346.253
125,6.27871,4.54653,482.52
126,6.27565,4.58448,343.147
127,6.27261,4.54326,478.209
128,6.2696,4.58084,340.09
129,6.26662,4.54005,473.968
130,6.26366,4.57726,337.084
131,6.26073,4.53689,469.796
132,6.25782,4.57375,334.125
133,6.25494,4.53379,465.69
134,6.25209,4.57029,331.214
135,6.24926,4.53074,461.65
136,6.24645,4.5669,328.349
