,train_loss,val_loss,grad_norm
0,30.4307,23.2486,19561
1,16.0899,10.6214,18750.1
2,12.155,7.94575,8982.45
3,10.1461,5.91498,9847.24
4,9.02184,5.68274,5223.26
5,8.33619,4.94544,6016.48
6,7.91508,5.10409,3213.99
7,7.65353,4.77894,3748.51
8,7.48905,4.98837,2030.85
9,7.38304,4.82247,2430.76
10,7.31309,4.99951,1354.11
11,7.26465,4.8946,1700.77
12,7.22981,5.03306,990.102
13,7.20295,4.94759,1330.39
14,7.18123,5.05959,811.97
15,7.16258,4.97594,1160.59
16,7.14585,5.07312,731.479
17,7.13045,4.98594,1084.65
18,7.11576,5.07531,694.207
19,7.1018,4.98476,1046.32
20,7.08809,5.06976,673.812
21,7.07491,4.97738,1022.09
22,7.06182,5.05962,659.765
23,7.04918,4.96674,1003.26
24,7.03656,5.04699,648.209
25,7.02435,4.95451,986.674
26,7.01214,5.03315,637.753
27,7.00032,4.9416,971.201
28,6.98849,5.01884,627.879
29,6.97702,4.92852,956.402
30,6.96555,5.00447,618.389
31,6.95443,4.91553,942.101
32,6.94328,4.99027,609.198
33,6.93249,4.90279,928.216
34,6.92167,4.97637,600.266
35,6.91118,4.89037,914.708
36,6.90067,4.96281,591.571
37,6.89049,4.87829,901.55
38,6.88027,4.94964,583.1
39,6.87037,4.86657,888.724
40,6.86044,4.93686,574.839
41,6.85082,4.85521,876.214
42,6.84116,4.92446,566.781
43,6.8318,4.8442,864.007
44,6.82241,4.91244,558.917
45,6.8133,4.83353,852.091
46,6.80417,4.90079,551.239
47,6.7953,4.82319,840.454
48,6.78641,4.88949,543.739
49,6.77778,4.81318,829.085
50,6.76913,4.87853,536.412
51,6.76073,4.80346,817.975
52,6.7523,4.86789,529.25
53,6.74412,4.79404,807.114
54,6.73591,4.85757,522.249
55,6.72794,4.78491,796.494
56,6.71994,4.84756,515.401
57,6.71218,4.77604,786.107
58,6.70439,4.83783,508.703
59,6.69682,4.76743,775.944
60,6.68922,4.82838,502.149
61,6.68185,4.75908,765.998
62,6.67444,4.8192,495.734
63,6.66725,4.75096,756.262
64,6.66003,4.81027,489.455
65,6.65302,4.74307,746.73
66,6.64597,4.8016,483.306
67,6.63913,4.73541,737.395
68,6.63226,4.79316,477.284
69,6.62558,4.72796,728.252
70,6.61888,4.78495,471.385
71,6.61237,4.72071,719.295
72,6.60582,4.77696,465.605
73,6.59947,4.71366,710.518
74,6.59308,4.76918,459.942
75,6.58687,4.7068,701.916
76,6.58064,4.7616,454.391
77,6.57458,4.70012,693.485
78,6.56849,4.75423,448.95
79,6.56257,4.69362,685.22
80,6.55662,4.74704,443.616
81,6.55084,4.68729,677.116
82,6.54503,4.74003,438.385
83,6.53938,4.68112,669.169
84,6.5337,4.7332,433.256
85,6.52819,4.6751,661.375
86,6.52264,4.72654,428.225
87,6.51724,4.66924,653.73
88,6.51182,4.72005,423.29
89,6.50655,4.66352,646.231
90,6.50125,4.71371,418.449
91,6.49609,4.65795,638.874
92,6.49091,4.70752,413.7
93,6.48587,4.65251,631.655
94,6.4808,4.70148,409.039
95,6.47587,4.6472,624.571
96,6.47091,4.69559,404.466
97,6.46609,4.64201,617.619
98,6.46123,4.68983,399.977
99,6.45652,4.63695,610.796
100,6.45177,4.6842,395.572
101,6.44715,4.63201,604.099
102,6.44251,4.6787,391.247
103,6.43799,4.62718,597.524
104,6.43344,4.67333,387.002
105,6.42902,4.62246,591.07
106,6.42457,4.66807,382.834
107,6.42024,4.61784,584.733
108,6.41588,4.66293,378.742
109,6.41164,4.61333,578.511
110,6.40737,4.6579,374.724
111,6.40322,4.60891,572.401
112,6.39904,4.65298,370.778
113,6.39497,4.60459,566.401
114,6.39088,4.64817,366.903
115,6.38689,4.60036,560.509
116,6.38288,4.64345,363.098
117,6.37898,4.59622,554.721
118,6.37505,4.63883,359.36
119,6.37122,4.59217,549.037
120,6.36737,4.63431,355.688
121,6.36362,4.5882,543.453
122,6.35984,4.62988,352.082
123,6.35616,4.58431,537.968
124,6.35246,4.62554,348.539
125,6.34886,4.5805,532.579
126,6.34523,4.62128,345.058
127,6.34169,4.57677,527.285
128,6.33813,4.61711,341.638
129,6.33467,4.57311,522.083
130,6.33117,4.61302,338.278
131,6.32777,4.56951,516.971
132,6.32435,4.60901,334.977
133,6.32101,4.56599,511.949
134,6.31765,4.60507,331.732
135,6.31438,4.56253,507.013
136,6.31108,4.60121,328.544
137,6.30787,4.55914,502.162
138,6.30463,4.59741,325.41
139,6.30148,4.55581,497.395
140,6.2983,4.59369,322.33
141,6.29521,4.55254,492.709
142,6.29209,4.59003,319.303
143,6.28905,4.54933,488.103
144,6.28599,4.58644,316.327
145,6.28301,4.54617,483.576
146,6.28,4.58291,313.402
147,6.27707,4.54307,479.125
148,6.27412,4.57944,310.527
149,6.27124,4.54002,474.749
150,6.26834,4.57604,307.699
151,6.26551,4.53703,470.447
152,6.26266,4.57269,304.92
153,6.25988,4.53408,466.217
