,train_loss,val_loss,grad_norm
0,78.0603,23.4411,3185.75
1,49.2933,85.2274,3297.63
2,43.0976,49.3953,2707.55
3,39.666,47.2923,1954.62
4,37.2894,36.0325,1873.93
5,35.568,36.379,1495.66
6,34.1157,31.6282,1529.55
7,32.9535,32.4454,1252.61
8,31.9178,29.7845,1299.34
9,31.0755,30.5219,1070.73
10,30.3095,28.7301,1115.95
11,29.6864,29.2841,922.764
12,29.1103,27.9623,965.268
13,28.6428,28.3423,800.806
14,28.2032,27.3261,840.895
15,27.8473,27.5651,700.106
16,27.5066,26.7681,738.185
17,27.2316,26.8986,616.937
18,26.9631,26.2661,653.347
19,26.7471,26.3148,548.224
20,26.532,25.8084,583.226
21,26.3594,25.7959,491.397
22,26.184,25.3877,525.185
23,26.0439,25.3295,444.308
24,25.8985,24.9986,477.018
25,25.7827,24.9064,405.162
26,25.6601,24.6372,436.884
27,25.5629,24.5195,372.466
28,25.4581,24.3002,403.261
29,25.3753,24.1636,344.989
30,25.2843,23.9852,374.895
31,25.2128,23.8344,321.72
32,25.1328,23.6902,350.766
33,25.0703,23.5288,301.841
34,24.9992,23.4135,330.049
35,24.944,23.2443,284.696
36,24.8802,23.1537,312.087
37,24.8309,22.9789,269.76
38,24.7732,22.9098,296.355
39,24.7289,22.731,256.617
40,24.6763,22.6807,282.441
41,24.6361,22.4992,244.941
42,24.5878,22.4656,270.019
43,24.5512,22.2825,234.474
44,24.5067,22.2638,258.834
45,24.4731,22.0798,225.013
46,24.4319,22.0745,248.683
47,24.401,21.8904,216.399
48,24.3626,21.8971,239.408
49,24.334,21.7134,208.504
50,24.2982,21.7311,230.881
51,24.2717,21.5483,201.228
52,24.2381,21.576,223
53,24.2134,21.3944,194.488
54,24.1819,21.4312,215.683
55,24.1589,21.2511,188.218
56,24.1291,21.2963,208.863
57,24.1076,21.1179,182.364
58,24.0795,21.1708,202.482
59,24.0593,20.9944,176.878
60,24.0327,21.0544,196.495
61,24.0138,20.8801,171.724
62,23.9885,20.9467,190.861
63,23.9707,20.7746,166.869
64,23.9467,20.8472,185.546
65,23.9299,20.6774,162.283
66,23.9071,20.7556,180.52
67,23.8912,20.5882,157.942
68,23.8695,20.6716,175.759
69,23.8544,20.5066,153.826
70,23.8337,20.5949,171.238
71,23.8194,20.4323,149.914
72,23.7996,20.5251,166.938
73,23.7861,20.3649,146.191
74,23.7671,20.4619,162.841
75,23.7543,20.3042,142.64
76,23.7361,20.4051,158.931
77,23.7239,20.2499,139.248
78,23.7065,20.3543,155.193
79,23.6948,20.2016,136.004
80,23.6781,20.3094,151.614
81,23.667,20.1591,132.895
82,23.651,20.27,148.183
83,23.6404,20.1221,129.913
84,23.6249,20.2359,144.888
85,23.6149,20.0905,127.047
86,23.6,20.2069,141.72
87,23.5904,20.0639,124.291
88,23.576,20.1828,138.671
89,23.5668,20.0421,121.635
90,23.553,20.1632,135.731
91,23.5442,20.0249,119.074
92,23.5309,20.1482,132.894
93,23.5225,20.0121,116.602
94,23.5096,20.1373,130.154
95,23.5016,20.0036,114.211
96,23.4891,20.1305,127.503
97,23.4814,19.999,111.898
98,23.4694,20.1276,124.937
99,23.462,19.9983,109.658
100,23.4504,20.1284,122.45
101,23.4433,20.0012,107.486
102,23.4321,20.1326,120.038
103,23.4253,20.0076,105.379
104,23.4144,20.1402,117.696
105,23.4079,20.0174,103.332
106,23.3973,20.151,115.421
107,23.3911,20.0303,101.343
108,23.3809,20.1649,113.209
109,23.3749,20.0461,99.4078
110,23.365,20.1816,111.057
111,23.3592,20.0649,97.5244
