,train_loss,val_loss,grad_norm
0,90.6759,26.6423,3333.89
1,50.6468,108.502,3941.44
2,43.1306,62.6217,2722.04
3,39.2686,56.0967,2124.45
4,36.9205,42.1227,1706.19
5,35.2978,40.8978,1534.56
6,34.0103,35.1372,1353.06
7,32.9633,35.4276,1281.43
8,32.0514,32.2642,1156.55
9,31.2815,32.8087,1108.21
10,30.5944,30.6998,1006.54
11,30.0094,31.1707,968.957
12,29.4809,29.6184,883.487
13,29.029,29.9564,853.757
14,28.616,28.7603,781.355
15,28.2616,28.9751,758.002
16,27.9339,28.033,696.39
17,27.6516,28.1479,678.28
18,27.3875,27.3967,625.59
19,27.1592,27.434,611.777
20,26.9428,26.8303,566.454
21,26.7552,26.8082,556.14
22,26.5753,26.3203,516.885
23,26.4188,26.253,509.401
24,26.2669,25.8573,475.139
25,26.1345,25.7553,469.921
26,26.0045,25.4339,439.766
27,25.8909,25.3054,436.352
28,25.7781,25.0447,409.577
29,25.6795,24.8959,407.586
30,25.5807,24.6852,383.602
31,25.4941,24.5208,382.727
32,25.4065,24.3519,361.056
33,25.3299,24.1756,361.051
34,25.2516,24.0421,341.309
35,25.183,23.8568,341.98
36,25.1125,23.7535,323.86
37,25.0508,23.5614,325.053
38,24.9869,23.4842,308.306
39,24.931,23.2872,309.902
40,24.8726,23.2327,294.332
41,24.8217,23.0321,296.238
42,24.7682,22.9975,281.684
43,24.7216,22.7947,283.828
44,24.6723,22.7777,270.161
45,24.6294,22.5735,272.488
46,24.5838,22.5721,259.602
47,24.5443,22.3674,262.068
48,24.502,22.3799,249.877
49,24.4654,22.1754,252.45
50,24.426,22.2004,240.881
51,24.392,21.9965,243.534
52,24.3552,22.0328,232.526
53,24.3235,21.8301,235.239
54,24.289,21.8765,224.741
55,24.2595,21.6753,227.497
56,24.2271,21.731,217.465
57,24.1995,21.5316,220.252
58,24.1691,21.5957,210.646
59,24.1431,21.3984,213.454
60,24.1145,21.4701,204.242
61,24.0901,21.2751,207.062
62,24.063,21.3539,198.213
63,24.0401,21.1612,201.039
64,24.0145,21.2465,192.527
65,23.9928,21.0563,195.352
66,23.9686,21.1475,187.154
67,23.9481,20.96,189.974
68,23.9251,21.0567,182.067
69,23.9058,20.8718,184.878
70,23.8839,20.9736,177.244
71,23.8656,20.7915,180.042
72,23.8447,20.8979,172.664
73,23.8274,20.7185,175.446
74,23.8075,20.8293,168.307
75,23.791,20.6527,171.07
76,23.7721,20.7675,164.156
77,23.7564,20.5938,166.899
78,23.7383,20.7122,160.197
79,23.7234,20.5413,162.917
80,23.7061,20.6631,156.414
81,23.6918,20.495,159.11
82,23.6753,20.6201,152.795
83,23.6617,20.4548,155.465
