,train_loss,val_loss,grad_norm
0,21.661,15.5048,15329.4
1,11.9262,7.5939,12654.2
2,9.8964,6.51042,7308.22
3,8.9005,5.26825,6521.27
4,8.32861,5.37624,4372.77
5,7.96139,4.85673,4215.24
6,7.72051,5.08907,2882.97
7,7.55965,4.81452,2825.81
8,7.45067,5.03123,1963.28
9,7.37519,4.86611,1969.96
10,7.32163,5.04185,1405.49
11,7.28219,4.92662,1464.55
12,7.25211,5.06639,1085.19
13,7.22802,4.9719,1186
14,7.20794,5.08697,914.372
15,7.19046,4.9989,1043.32
16,7.17472,5.09885,828.443
17,7.16016,5.01121,972.245
18,7.14639,5.10227,784.917
19,7.13323,5.01348,934.693
20,7.12046,5.09917,760.592
21,7.10806,5.00939,911.811
22,7.09589,5.09165,744.586
23,7.08399,5.00147,895.259
24,7.07224,5.08134,732.201
25,7.06073,4.99133,881.521
26,7.04934,5.06939,721.469
27,7.03816,4.97998,869.127
28,7.02709,5.05655,711.566
29,7.01621,4.96802,857.46
30,7.00543,5.04332,702.141
31,6.99483,4.95584,846.249
32,6.98434,5.02998,693.039
33,6.97401,4.94366,835.375
34,6.96378,5.01671,684.188
35,6.95372,4.9316,824.778
36,6.94374,5.00364,675.553
37,6.93393,4.91975,814.428
38,6.92421,4.99081,667.113
39,6.91464,4.90816,804.306
40,6.90515,4.97827,658.857
41,6.89582,4.89683,794.401
42,6.88656,4.96602,650.775
43,6.87746,4.8858,784.702
44,6.86843,4.95409,642.859
45,6.85954,4.87505,775.201
46,6.85073,4.94246,635.105
47,6.84205,4.86458,765.891
48,6.83345,4.93113,627.505
49,6.82498,4.85439,756.766
50,6.81657,4.9201,620.056
51,6.80831,4.84448,747.82
52,6.8001,4.90936,612.751
53,6.79202,4.83482,739.047
54,6.78401,4.8989,605.587
55,6.77612,4.82543,730.442
56,6.76829,4.88871,598.56
57,6.76058,4.81628,722
58,6.75293,4.87878,591.664
59,6.7454,4.80737,713.715
