,train_loss,val_loss,grad_norm
0,85.6033,32.3663,2996.33
1,40.3469,76.9823,3664.95
2,34.929,50.1783,1674.18
3,33.0489,39.3485,1569.51
4,31.8009,32.9817,865.638
5,31.1685,30.0236,1048.02
6,30.4886,27.6422,656.271
7,30.0726,26.9252,873.127
8,29.5582,25.5866,557.162
9,29.2423,25.3509,751.936
10,28.834,24.4449,482.337
11,28.5887,24.3056,655.163
12,28.2581,23.6491,422.004
13,28.065,23.5293,576.479
14,27.7926,23.0389,372.75
15,27.6386,22.9228,511.886
16,27.4107,22.5498,332.151
17,27.2865,22.4339,458.324
18,27.0931,22.1462,298.334
19,26.992,22.0301,413.42
20,26.8258,21.8057,269.853
21,26.7428,21.6895,375.35
22,26.5986,21.5129,245.593
23,26.5299,21.3971,342.711
24,26.4035,21.2571,224.701
25,26.3464,21.1422,314.43
26,26.2347,21.0306,206.525
27,26.1869,20.917,289.686
28,26.0875,20.8278,190.563
29,26.0473,20.7158,267.847
30,25.9583,20.6445,176.43
31,25.9244,20.5345,248.427
32,25.8442,20.4775,163.827
33,25.8154,20.3698,231.043
34,25.7429,20.3245,152.519
35,25.7184,20.2193,215.396
36,25.6525,20.1835,142.32
37,25.6316,20.081,201.246
38,25.5714,20.0531,133.081
39,25.5535,19.9533,188.398
40,25.4984,19.9319,124.68
41,25.483,19.835,176.692
42,25.4324,19.8189,117.016
43,25.4191,19.725,165.993
44,25.3724,19.7134,110.003
45,25.361,19.6225,156.19
46,25.3178,19.6146,103.571
47,25.308,19.5266,147.185
48,25.268,19.522,97.6567
49,25.2594,19.4369,138.895
50,25.2223,19.4349,92.2072
51,25.2149,19.3527,131.246
52,25.1802,19.3529,87.1756
53,25.1738,19.2736,124.176
54,25.1415,19.2757,82.5206
55,25.136,19.1991,117.628
56,25.1058,19.2028,78.206
57,25.101,19.129,111.552
58,25.0727,19.134,74.1994
59,25.0686,19.0628,105.903
60,25.042,19.069,70.4721
61,25.0385,19.0004,100.643
62,25.0135,19.0075,66.9985
63,25.0104,18.9414,95.7358
64,24.9869,18.9492,63.7557
65,24.9843,18.8856,91.1502
66,24.9622,18.8941,60.7233
67,24.96,18.8328,86.8577
68,24.9391,18.8418,57.8829
69,24.9372,18.7828,82.8333
70,24.9175,18.7923,55.2181
71,24.9159,18.7355,79.0541
72,24.8972,18.7453,52.7141
73,24.8959,18.6906,75.4998
74,24.8782,18.7007,50.3577
75,24.8772,18.6481,72.1521
76,24.8604,18.6584,48.1369
77,24.8596,18.6078,68.9945
78,24.8437,18.6183,46.0411
79,24.8431,18.5695,66.0122
80,24.8279,18.5801,44.0606
81,24.8275,18.5332,63.1919
82,24.8131,18.5439,42.1866
83,24.8128,18.4987,60.5214
84,24.7992,18.5095,40.4114
85,24.799,18.466,57.9899
86,24.786,18.4767,38.7279
87,24.7859,18.4349,55.5875
88,24.7736,18.4456,37.1295
89,24.7736,18.4054,53.3054
90,24.7618,18.4161,35.6105
91,24.762,18.3774,51.1353
92,24.7507,18.388,34.1655
93,24.751,18.3508,49.07
94,24.7402,18.3613,32.7898
95,24.7405,18.3255,47.1027
96,24.7303,18.3359,31.479
97,24.7307,18.3014,45.2272
98,24.7209,18.3117,30.229
99,24.7213,18.2786,43.4381
100,24.7119,18.2887,29.0362
101,24.7124,18.2569,41.7302
102,24.7035,18.2668,27.8972
103,24.704,18.2362,40.0987
104,24.6955,18.2461,26.809
105,24.696,18.2166,38.5393
106,24.6879,18.2263,25.7686
107,24.6885,18.1979,37.0481
108,24.6806,18.2075,24.7735
109,24.6813,18.1802,35.6213
110,24.6738,18.1895,23.8212
111,24.6744,18.1634,34.2556
112,24.6672,18.1725,22.9094
113,24.6679,18.1473,32.9477
114,24.661,18.1563,22.0362
115,24.6617,18.1321,31.6947
116,24.6551,18.1409,21.1995
117,24.6558,18.1176,30.4939
118,24.6495,18.1262,20.3975
119,24.6502,18.1038,29.3427
120,24.6441,18.1123,19.6285
121,24.6448,18.0908,28.2387
122,24.639,18.099,18.891
123,24.6397,18.0783,27.1797
124,24.6342,18.0864,18.1835
125,24.6349,18.0665,26.1636
126,24.6295,18.0743,17.5045
127,24.6303,18.0552,25.1884
128,24.6251,18.0629,16.8528
129,24.6258,18.0445,24.2521
130,24.6209,18.052,16.2271
131,24.6216,18.0343,23.3532
132,24.6169,18.0417,15.6263
133,24.6176,18.0247,22.4899
134,24.6131,18.0318,15.0493
135,24.6138,18.0155,21.6606
136,24.6094,18.0224,14.4949
137,24.6101,18.0067,20.8639
138,24.6059,18.0135,13.9623
139,24.6066,17.9984,20.0984
140,24.6026,18.005,13.4505
141,24.6032,17.9905,19.3627
142,24.5994,17.997,12.9586
143,24.6,17.983,18.6556
144,24.5963,17.9893,12.4858
145,24.597,17.9759,17.9759
146,24.5934,17.982,12.0313
147,24.5941,17.9691,17.3223
148,24.5906,17.9751,11.5943
149,24.5913,17.9627,16.694
150,24.588,17.9685,11.1741
151,24.5886,17.9566,16.0897
152,24.5854,17.9622,10.77
153,24.586,17.9508,15.5086
154,24.583,17.9562,10.3813
155,24.5836,17.9452,14.9496
156,24.5807,17.9505,10.0075
157,24.5812,17.94,14.4119
158,24.5784,17.9451,9.64786
159,24.579,17.935,13.8946
160,24.5763,17.94,9.30188
161,24.5769,17.9303,13.397
162,24.5742,17.9351,8.96899
163,24.5748,17.9258,12.9181
164,24.5723,17.9305,8.64868
165,24.5728,17.9215,12.4573
166,24.5704,17.9261,8.34044
167,24.5709,17.9174,12.0139
168,24.5686,17.9219,8.04379
169,24.5691,17.9136,11.5871
170,24.5669,17.9179,7.75828
171,24.5674,17.9099,11.1763
172,24.5652,17.9142,7.48347
173,24.5657,17.9065,10.7809
174,24.5637,17.9106,7.21893
175,24.5642,17.9032,10.4003
176,24.5622,17.9072,6.96427
177,24.5626,17.9001,10.0338
178,24.5607,17.9039,6.7191
179,24.5612,17.8971,9.68102
180,24.5593,17.9009,6.48304
