,train_loss,val_loss,grad_norm
0,29.1603,22.6735,20416.1
1,15.0341,9.69837,16572.1
2,11.779,7.71865,8942.21
3,9.9708,5.81392,9404.97
4,8.89529,5.63551,5418.76
5,8.22463,4.86165,5882.77
6,7.80192,5.03165,3410.7
7,7.53452,4.67312,3737.46
8,7.36267,4.88901,2189.7
9,7.25112,4.70302,2444.23
10,7.17672,4.88638,1462.4
11,7.12589,4.77318,1691.25
12,7.08959,4.91598,1048.84
13,7.06263,4.83131,1281.33
14,7.04133,4.94431,831.404
15,7.02386,4.86758,1078.18
16,7.00852,4.96265,726.651
17,6.99492,4.88542,983.864
18,6.98204,4.97061,677.693
19,6.97012,4.89091,938.312
20,6.95835,4.9706,652.707
21,6.94727,4.88898,912.461
22,6.93614,4.96535,637.278
23,6.92557,4.88284,894.361
24,6.91486,4.95696,625.647
25,6.90469,4.8744,879.433
26,6.89433,4.94683,615.623
27,6.88447,4.86478,865.94
28,6.87442,4.93581,606.37
29,6.86486,4.85463,853.215
30,6.8551,4.92443,597.563
31,6.8458,4.8443,840.989
32,6.83631,4.91297,589.067
33,6.82728,4.83401,829.148
34,6.81805,4.90162,580.823
35,6.80926,4.82387,817.636
36,6.80028,4.89047,572.8
37,6.79173,4.81395,806.422
38,6.78298,4.87957,564.983
39,6.77466,4.80426,795.488
40,6.76614,4.86894,557.357
41,6.75804,4.79484,784.819
42,6.74974,4.85859,549.914
43,6.74185,4.78568,774.402
44,6.73376,4.84853,542.646
45,6.72607,4.77677,764.227
46,6.71819,4.83875,535.545
47,6.71069,4.76812,754.283
48,6.70301,4.82924,528.605
49,6.6957,4.75971,744.562
50,6.68821,4.82,521.819
51,6.68108,4.75154,735.055
52,6.67378,4.81101,515.181
53,6.66682,4.74361,725.755
54,6.65969,4.80227,508.687
55,6.65291,4.73589,716.653
56,6.64595,4.79377,502.331
57,6.63933,4.72838,707.743
58,6.63254,4.7855,496.107
59,6.62608,4.72108,699.018
60,6.61945,4.77744,490.013
61,6.61314,4.71398,690.472
62,6.60667,4.76961,484.042
63,6.60051,4.70706,682.099
64,6.59419,4.76197,478.192
65,6.58817,4.70033,673.894
66,6.58199,4.75454,472.459
67,6.57611,4.69377,665.85
68,6.57008,4.74729,466.838
69,6.56434,4.68739,657.964
70,6.55844,4.74022,461.326
71,6.55283,4.68116,650.231
72,6.54706,4.73334,455.921
73,6.54158,4.6751,642.645
74,6.53594,4.72662,450.618
75,6.53058,4.66918,635.203
76,6.52507,4.72007,445.416
77,6.51982,4.66342,627.901
78,6.51443,4.71367,440.311
79,6.5093,4.65779,620.734
80,6.50403,4.70743,435.3
81,6.49901,4.6523,613.7
82,6.49386,4.70134,430.382
83,6.48895,4.64694,606.794
84,6.4839,4.69539,425.553
85,6.4791,4.64171,600.013
86,6.47416,4.68958,420.811
87,6.46946,4.6366,593.355
88,6.46463,4.6839,416.155
89,6.46003,4.63161,586.815
90,6.4553,4.67835,411.581
91,6.45079,4.62674,580.391
92,6.44616,4.67293,407.088
93,6.44175,4.62197,574.081
94,6.43722,4.66762,402.675
95,6.4329,4.61731,567.882
96,6.42846,4.66243,398.338
97,6.42423,4.61276,561.79
98,6.41988,4.65736,394.077
99,6.41573,4.6083,555.804
100,6.41147,4.65239,389.89
101,6.40741,4.60395,549.92
102,6.40323,4.64753,385.774
103,6.39926,4.59968,544.138
104,6.39516,4.64278,381.729
105,6.39127,4.59551,538.454
106,6.38726,4.63812,377.752
107,6.38344,4.59142,532.867
108,6.3795,4.63356,373.843
109,6.37576,4.58742,527.373
110,6.3719,4.62909,370
111,6.36823,4.5835,521.973
112,6.36445,4.62471,366.221
113,6.36085,4.57967,516.662
114,6.35715,4.62042,362.505
115,6.35362,4.57591,511.44
116,6.34998,4.61622,358.851
117,6.34652,4.57222,506.304
118,6.34295,4.61209,355.258
119,6.33956,4.5686,501.253
120,6.33606,4.60805,351.723
121,6.33273,4.56506,496.286
