,train_loss,val_loss,grad_norm
0,24.5965,18.5385,18353.3
1,13.5925,8.56877,14603.1
2,11.0363,7.08345,7885.71
3,9.59904,5.60434,8457.6
4,8.70858,5.48495,4814.19
5,8.16129,4.86181,5304.11
6,7.80147,5.01909,3042.29
7,7.57787,4.71742,3393.02
8,7.42474,4.90774,1972.29
9,7.32768,4.74156,2250.84
10,7.25663,4.90313,1340.91
11,7.20999,4.79495,1593.17
12,7.17222,4.92279,985.724
13,7.14625,4.83754,1238.6
14,7.12229,4.94117,799.703
15,7.10518,4.86256,1061.46
16,7.08712,4.95171,708.072
17,7.07405,4.87336,975.158
18,7.05868,4.95438,662.348
19,7.04763,4.87488,929.51
20,7.03364,4.95118,636.575
21,7.0237,4.87095,900.807
22,7.01055,4.94421,619.09
23,7.0013,4.864,879.16
24,6.98875,4.93505,605.118
25,6.97999,4.85547,860.63
26,6.96792,4.92474,592.759
27,6.95955,4.84618,843.644
28,6.9479,4.91389,581.25
29,6.93985,4.8366,827.56
30,6.92858,4.9029,570.271
31,6.92082,4.82699,812.103
32,6.9099,4.89196,559.685
33,6.9024,4.8175,797.144
34,6.89181,4.8812,549.425
35,6.88455,4.80822,782.622
36,6.87428,4.87069,539.456
37,6.86725,4.79917,768.499
38,6.85728,4.86046,529.756
39,6.85047,4.79037,754.749
40,6.84078,4.85052,520.31
41,6.83418,4.78184,741.353
42,6.82477,4.84087,511.105
43,6.81836,4.77357,728.296
44,6.80922,4.83152,502.131
45,6.80299,4.76555,715.564
46,6.7941,4.82244,493.378
47,6.78806,4.75778,703.142
48,6.77942,4.81364,484.838
49,6.77354,4.75025,691.02
50,6.76514,4.8051,476.503
51,6.75943,4.74294,679.186
52,6.75125,4.79681,468.364
53,6.7457,4.73586,667.63
54,6.73775,4.78877,460.416
55,6.73235,4.72899,656.341
56,6.72461,4.78096,452.65
57,6.71936,4.72231,645.31
58,6.71182,4.77338,445.062
59,6.70671,4.71584,634.529
60,6.69937,4.76601,437.644
61,6.6944,4.70955,623.989
62,6.68724,4.75885,430.392
63,6.6824,4.70344,613.683
64,6.67543,4.75189,423.299
65,6.67072,4.6975,603.602
66,6.66393,4.74511,416.361
67,6.65934,4.69172,593.74
68,6.65272,4.73853,409.573
69,6.64825,4.68611,584.09
70,6.6418,4.73212,402.93
71,6.63744,4.68064,574.645
72,6.63115,4.72588,396.429
73,6.6269,4.67533,565.4
74,6.62076,4.7198,390.064
75,6.61663,4.67015,556.349
76,6.61064,4.71388,383.832
77,6.6066,4.66511,547.485
78,6.60076,4.70811,377.729
79,6.59683,4.6602,538.805
80,6.59113,4.70249,371.752
81,6.58729,4.65542,530.303
82,6.58172,4.69701,365.897
