,train_loss,val_loss,grad_norm
0,24.3789,18.065,16876.2
1,11.6147,8.11086,9631.27
2,7.07382,5.13666,986.52
3,6.92436,4.98573,621.388
4,6.16313,4.57732,307.85
5,6.01097,4.46989,220.842
6,5.81061,4.24458,130.517
7,5.74377,4.19902,79.0976
8,5.7437,4.19419,38.4093
9,5.73613,4.20397,0.186141
10,5.73613,4.20398,4.06903e-05
11,5.73613,4.20398,5.33041e-07
12,5.73613,4.20398,2.60305e-07
13,5.73613,4.20398,1.03487e-10
14,5.73613,4.20398,4.23509e-10
15,5.73613,4.20398,1.70221e-10
16,5.73613,4.20398,5.75298e-11
