,train_loss,val_loss,grad_norm
0,76.4917,27.2527,2838.99
1,42.6781,89.0901,2454.45
2,28.9309,36.712,563.608
3,26.1516,25.3836,343.484
4,24.3216,21.8173,137.677
5,23.8697,20.1631,117.895
6,23.5011,18.6808,30.182
7,23.4638,18.8764,11.3616
8,23.4551,19.0405,3.93638
9,23.4543,19.0504,10.0398
10,23.4539,19.0452,1.83248
11,23.4545,19.0105,0.660379
12,23.4545,18.9924,0.0869028
13,23.4545,18.9929,0.188232
14,23.4545,18.9923,0.0121587
15,23.4545,18.9924,0.00387884
16,23.4545,18.9924,8.53182e-07
17,23.4545,18.9924,1.91497e-09
18,23.4545,18.9924,8.61193e-11
