,train_loss,val_loss,grad_norm
0,81.861,20.6791,3114.65
1,44.7203,79.8794,2726.26
2,27.9009,28.9249,570.968
3,25.4411,22.3147,332.709
4,23.7666,20.9457,152.289
5,23.3959,21.2174,130.401
6,22.889,23.9859,44.3343
7,22.8387,25.9967,16.2446
8,22.8264,27.136,29.3298
9,22.8264,27.1288,6.0227
10,22.8255,27.1501,2.14783
11,22.8251,27.1293,0.609212
12,22.8254,27.1574,0.408268
13,22.8254,27.1564,1.25613
14,22.8255,27.1393,0.0928202
15,22.8255,27.1386,0.251683
16,22.8255,27.1389,2.4191e-06
17,22.8255,27.1389,1.57551e-08
18,22.8255,27.1389,9.1125e-10
19,22.8255,27.1389,8.64271e-10
20,22.8255,27.1389,3.52344e-10
21,22.8255,27.1389,8.86026e-12
