,train_loss,val_loss,grad_norm
0,23.1586,16.7138,15552.3
1,10.9497,7.69825,9174.45
2,7.32052,5.27981,879.62
3,7.11177,5.12916,970.302
4,6.4177,4.67455,472.609
5,6.03817,4.49887,192.769
6,5.81373,4.2435,135.955
7,5.74374,4.19443,38.9207
8,5.74365,4.19925,78.0901
9,5.73613,4.20398,0.00697021
10,5.73613,4.20398,1.53589e-05
11,5.73613,4.20398,4.95726e-07
12,5.73613,4.20398,7.25425e-08
13,5.73613,4.20398,3.12835e-10
14,5.73613,4.20398,8.62973e-10
15,5.73613,4.20398,7.44707e-10
16,5.73613,4.20398,1.68194e-11
