,train_loss,val_loss,grad_norm
0,26.8547,20.5167,18775.4
1,12.2882,8.42893,10001.1
2,7.14115,5.11987,668.43
3,6.91665,5.04425,1101.7
4,6.28788,4.63185,418.6
5,6.04051,4.50565,208.366
6,5.81089,4.24321,145.574
7,5.73862,4.19593,40.4243
8,5.73857,4.19188,65.2777
9,5.73233,4.20516,0.291539
10,5.73233,4.20515,8.16135e-05
11,5.73233,4.20515,7.54334e-07
12,5.73233,4.20515,3.23254e-07
13,5.73233,4.20515,2.95521e-10
14,5.73233,4.20515,8.62654e-10
15,5.73233,4.20515,7.0886e-10
16,5.73233,4.20515,2.72993e-11
